Issue Group,Issue ID,Issue,CUSIP,Maturity Date,Dated Date,Fund,Fund Description,Tax Status,Coupon Rate,Interest,Principal,Sum,Pay Date
CFD-CADE,606,CAD1 2019 Bonds,12738CAF4,07/01/2029,07/10/2019,1491-CAD1,Cadence - SAD 1,Exempt from Tax,3.250,5395,0,5395,01/01/2025
CFD-CADE,606,CAD1 2019 Bonds,12738CAG2,07/01/2033,07/10/2019,1491-CAD1,Cadence - SAD 1,Exempt from Tax,3.750,5850,0,5850,01/01/2025
CFD-CADE,606,CAD1 2019 Bonds,12738CAH0,07/01/2043,07/10/2019,1491-CAD1,Cadence - SAD 1,Exempt from Tax,4.500,23850,0,23850,01/01/2025
CFD-CADE,607,CAD2 2019 Bonds,12738CAK3,07/01/2029,07/10/2019,1491-CAD2,Cadence - SAD 2,,3.250,715,0,715,01/01/2025
CFD-CADE,607,CAD2 2019 Bonds,12738CAL1,07/01/2043,07/10/2019,1491-CAD2,Cadence - SAD 2,,4.500,2700,0,2700,01/01/2025
CFD-CADE,607,CAD2 2019 Bonds,12738CAM9,07/01/2035,07/10/2019,1491-CAD2,Cadence - SAD 2,,4.000,1200,0,1200,01/01/2025
CFD-CADE,613,CAD3 2020 Bonds,12738CAS6,07/01/2025,07/07/2020,1491-CAD3,Cadence - SAD 3, N/A,2.250,765,0,765,01/01/2025
CFD-CADE,613,CAD3 2020 Bonds,12738CAT4,07/01/2030,07/07/2020,1491-CAD3,Cadence - SAD 3, N/A,3.000,6675,0,6675,01/01/2025
CFD-CADE,613,CAD3 2020 Bonds,12738CAU1,07/01/2045,07/07/2020,1491-CAD3,Cadence - SAD 3, N/A,4.000,39200,0,39200,01/01/2025
CFD-EMK1,570,SA1 2013 Bonds,277484AM3,07/01/2025,06/11/2013,1490-E1S1,Eastmark District 1 SAD 1,Exempt from Tax,4.375,1575,0,1575,01/01/2025
CFD-EMK1,570,SA1 2013 Bonds,277484AN1,07/01/2031,06/11/2013,1490-E1S1,Eastmark District 1 SAD 1,Exempt from Tax,5.000,15900,0,15900,01/01/2025
CFD-EMK1,570,SA1 2013 Bonds,277484AP6,07/01/2038,06/11/2013,1490-E1S1,Eastmark District 1 SAD 1,Exempt from Tax,5.250,27982,0,27982,01/01/2025
CFD-EMK1,566,SA2 2014 Bonds,277484BA8,07/01/2025,07/15/2014,1490-E1S2,Eastmark District 1 SAD 2,Exempt from Tax,4.375,2122,0,2122,01/01/2025
CFD-EMK1,566,SA2 2014 Bonds,277484BB6,07/01/2026,07/15/2014,1490-E1S2,Eastmark District 1 SAD 2,Exempt from Tax,4.375,1466,0,1466,01/01/2025
CFD-EMK1,566,SA2 2014 Bonds,277484BC4,07/01/2030,07/15/2014,1490-E1S2,Eastmark District 1 SAD 2,Exempt from Tax,4.750,12136,0,12136,01/01/2025
CFD-EMK1,566,SA2 2014 Bonds,277484BE0,07/01/2039,07/15/2014,1490-E1S2,Eastmark District 1 SAD 2,Exempt from Tax,5.375,43699,0,43699,01/01/2025
CFD-EMK1,573,SA3 2015 Bonds,277484BQ3,07/01/2025,04/02/2015,1490-E1S3,Eastmark 1 SAD 3,Exempt from Tax,4.250,1084,0,1084,01/01/2025
CFD-EMK1,573,SA3 2015 Bonds,277484BR1,07/01/2030,04/02/2015,1490-E1S3,Eastmark 1 SAD 3,Exempt from Tax,5.000,9825,0,9825,01/01/2025
CFD-EMK1,573,SA3 2015 Bonds,277484BS9,07/01/2039,04/02/2015,1490-E1S3,Eastmark 1 SAD 3,Exempt from Tax,5.200,25974,0,25974,01/01/2025
CFD-EMK1,578,SA4 2015 Bonds,277484CA7,07/01/2025,11/05/2015,1490-E1S4,Eastmark SAD 4,Exempt from Tax,4.000,440,0,440,01/01/2025
CFD-EMK1,578,SA4 2015 Bonds,277484CB5,07/01/2026,11/05/2015,1490-E1S4,Eastmark SAD 4,Exempt from Tax,4.200,504,0,504,01/01/2025
CFD-EMK1,578,SA4 2015 Bonds,277484CC3,07/01/2027,11/05/2015,1490-E1S4,Eastmark SAD 4,Exempt from Tax,4.400,594,0,594,01/01/2025
CFD-EMK1,578,SA4 2015 Bonds,277484CD1,07/01/2028,11/05/2015,1490-E1S4,Eastmark SAD 4,Exempt from Tax,4.500,630,0,630,01/01/2025
CFD-EMK1,578,SA4 2015 Bonds,277484CF6,07/01/2033,11/05/2015,1490-E1S4,Eastmark SAD 4,Exempt from Tax,5.000,4475,0,4475,01/01/2025
CFD-EMK1,578,SA4 2015 Bonds,277484CG4,07/01/2040,11/05/2015,1490-E1S4,Eastmark SAD 4,Exempt from Tax,5.000,9000,0,9000,01/01/2025
CFD-EMK1,579,SA5 2016 Bonds,277484CR0,07/01/2025,03/08/2016,1490-E1S5,Eastmark SAD5,Exempt from Tax,3.500,525,0,525,01/01/2025
CFD-EMK1,579,SA5 2016 Bonds,277484CS8,07/01/2029,03/08/2016,1490-E1S5,Eastmark SAD5,Exempt from Tax,3.950,3160,0,3160,01/01/2025
CFD-EMK1,579,SA5 2016 Bonds,277484CT6,07/01/2034,03/08/2016,1490-E1S5,Eastmark SAD5,Exempt from Tax,4.450,5273,0,5273,01/01/2025
CFD-EMK1,579,SA5 2016 Bonds,277484CU3,07/01/2040,03/08/2016,1490-E1S5,Eastmark SAD5,Exempt from Tax,4.750,8788,0,8788,01/01/2025
CFD-EMK1,587,SA6 2017 Bonds,277484CV1,07/01/2027,03/30/2017,1490-E1S6,Eastmark SAD 6,Exempt from Tax,4.250,914,0,914,01/01/2025
CFD-EMK1,587,SA6 2017 Bonds,277484CW9,07/01/2032,03/30/2017,1490-E1S6,Eastmark SAD 6,Exempt from Tax,4.750,2256,0,2256,01/01/2025
